"","trip_id","start_date","start_station_name","start_station_id","end_date","end_station_name","end_station_id","bike_number","zip_code","subscriber_type","c_subscription_type","member_birth_year","member_gender","bike_share_for_all_trip"
"13",9.72202e+18,"2018-04-30 16:58:26 UTC","Webster St at 2nd St","203","2018-04-30 17:03:09 UTC","Lake Merritt BART Station","163","972","","Subscriber","Subscriber","1987","Male","No"
"14",2.1492e+19,"2018-04-30 16:51:18 UTC","Folsom St at 19th St","123","2018-04-30 16:54:16 UTC","19th St at Mission St","122","2149","","Subscriber","Subscriber","1984","Male","No"
"15",2.4482e+19,"2018-04-30 15:44:55 UTC","Rockridge BART Station","171","2018-04-30 15:54:30 UTC","Russell St at College Ave","249","2448","","Subscriber","Subscriber","1984","Female","No"
"16",3.5012e+19,"2018-04-30 15:21:00 UTC","MLK Jr Way at University Ave","238","2018-04-30 15:33:39 UTC","Woolsey St at Sacramento St","272","3501","","Subscriber","Subscriber","1981","Female","Yes"
"17",1.1602e+19,"2018-04-30 14:04:24 UTC","Shattuck Ave at Telegraph Ave","158","2018-04-30 14:12:32 UTC","Market St at Brockhurst St","214","1160","","Subscriber","Subscriber","1984","Male","No"
"18",3.9412e+19,"2018-04-30 11:55:36 UTC","Bryant St at 15th St","100","2018-04-30 12:06:19 UTC","Market St at Dolores St","86","3941","","Customer","Customer","","","No"
"19",3.1562e+19,"2018-04-30 08:42:36 UTC","McAllister St at Baker St","52","2018-04-30 10:34:54 UTC","Bryant St at 15th St","100","3156","","Customer","Customer","1984","Female","No"
"20",2.5232e+19,"2018-04-30 09:42:26 UTC","Mosswood Park","212","2018-04-30 09:45:56 UTC","MacArthur BART Station","176","2523","","Subscriber","Subscriber","1988","Male","No"
"21",3.0992e+19,"2018-04-30 08:10:13 UTC","Market St at 45th St","315","2018-04-30 08:14:07 UTC","MacArthur BART Station","176","3099","","Subscriber","Subscriber","1992","Male","No"
"22",2.5332e+19,"2018-04-30 08:00:26 UTC","Santa Clara St at Almaden Blvd","314","2018-04-30 08:07:28 UTC","5th St at San Salvador St","327","2533","","Subscriber","Subscriber","1977","Male","No"
"23",3.4072e+19,"2018-04-30 07:09:48 UTC","Shafter Ave at Cavour St","205","2018-04-30 07:30:44 UTC","Downtown Berkeley BART","245","3407","","Subscriber","Subscriber","1980","Male","No"
"24",1.6042e+19,"2018-04-29 21:43:26 UTC","Church St at Duboce Ave","85","2018-04-29 21:53:34 UTC","Central Ave at Fell St","70","1604","","Subscriber","Subscriber","1976","Male","No"
"25",6.23202e+18,"2018-04-29 16:43:12 UTC","San Pedro Square","308","2018-04-29 16:48:49 UTC","Fountain Alley at S 2nd St","341","623","","Customer","Customer","","","No"
"26",2.5092e+19,"2018-04-29 16:12:54 UTC","Bryant St at 15th St","100","2018-04-29 16:19:36 UTC","14th St at Mission St","97","2509","","Subscriber","Subscriber","1987","Male","No"
"27",3.4702e+19,"2018-04-29 14:25:06 UTC","24th St at Market St","159","2018-04-29 15:14:42 UTC","24th St at Market St","159","3470","","Customer","Customer","1982","Male","No"
"28",1.6732e+19,"2018-04-29 14:07:01 UTC","Sanchez St at 17th St","106","2018-04-29 14:58:59 UTC","Sanchez St at 17th St","106","1673","","Customer","Customer","","","No"
"29",1.0832e+19,"2018-04-29 14:25:16 UTC","55th St at Telegraph Ave","204","2018-04-29 14:31:09 UTC","Telegraph Ave at Alcatraz Ave","18","1083","","Subscriber","Subscriber","1965","Female","No"
"30",3.0282e+19,"2018-04-29 13:26:53 UTC","Market St at Brockhurst St","214","2018-04-29 13:48:17 UTC","59th St at Horton St","153","3028","","Subscriber","Subscriber","1965","Female","No"
"31",2.1522e+19,"2018-04-29 13:27:52 UTC","San Pedro Square","308","2018-04-29 13:36:29 UTC","San Fernando St at 4th St","310","2152","","Subscriber","Subscriber","1993","Female","Yes"
"32",1.4592e+19,"2018-04-29 13:14:48 UTC","Morrison Ave at Julian St","277","2018-04-29 13:28:02 UTC","San Fernando St at 4th St","310","1459","","Subscriber","Subscriber","1993","Male","Yes"
"33",2.3192e+19,"2018-04-29 12:50:07 UTC","Pierce Ave at Market St","294","2018-04-29 13:27:37 UTC","Julian St at 6th St","275","2319","","Subscriber","Subscriber","1995","Male","No"
"34",1.23202e+18,"2018-04-29 11:07:24 UTC","Fountain Alley at S 2nd St","341","2018-04-29 11:12:25 UTC","5th St at San Salvador St","327","123","","Subscriber","Subscriber","1989","Male","Yes"
"35",3.1492e+19,"2018-04-29 11:06:09 UTC","Milvia St at Derby St","242","2018-04-29 11:11:50 UTC","Berkeley Civic Center","246","3149","","Subscriber","Subscriber","1967","Other","No"
"36",1.27202e+18,"2018-04-29 10:44:44 UTC","San Jose City Hall","309","2018-04-29 10:49:49 UTC","Ryland Park","305","127","","Subscriber","Subscriber","1992","Male","Yes"
"37",6.02018e+17,"2018-04-29 10:26:58 UTC","13th St at Franklin St","338","2018-04-29 10:29:55 UTC","Washington St at 8th St","202","60","","Subscriber","Subscriber","1964","Male","No"
"38",1.30202e+18,"2018-04-29 10:00:47 UTC","Telegraph Ave at 23rd St","180","2018-04-29 10:29:17 UTC","Milvia St at Derby St","242","130","","Customer","Customer","","","No"
"39",1.3732e+19,"2018-04-28 20:40:01 UTC","12th St at 4th Ave","233","2018-04-28 20:44:17 UTC","10th St at Fallon St","201","1373","","Subscriber","Subscriber","1975","Male","No"
"40",2.3262e+19,"2018-04-28 18:20:28 UTC","College Ave at Alcatraz Ave","166","2018-04-28 18:25:29 UTC","College Ave at Taft Ave","172","2326","","Customer","Customer","1989","Female","No"
"41",1.5992e+19,"2018-04-28 18:08:43 UTC","San Carlos St at 11th St","286","2018-04-28 18:17:50 UTC","San Carlos St at Market St","318","1599","","Subscriber","Subscriber","1990","Male","Yes"
"42",1.5562e+19,"2018-04-28 16:48:23 UTC","Market St at 40th St","191","2018-04-28 16:52:12 UTC","MacArthur BART Station","176","1556","","Subscriber","Subscriber","1971","Male","No"
"43",2.0182e+19,"2018-04-28 16:40:50 UTC","Church St at Duboce Ave","85","2018-04-28 16:50:30 UTC","Grove St at Divisadero","53","2018","","Subscriber","Subscriber","","","No"
"44",3.4262e+19,"2018-04-28 16:03:35 UTC","Addison St at Fourth St","259","2018-04-28 16:11:31 UTC","Ninth St at Parker St","265","3426","","Customer","Customer","","","No"
"45",2.2572e+19,"2018-04-28 15:42:40 UTC","30th St at San Jose Ave","146","2018-04-28 15:52:55 UTC","Valencia St at 22nd St","133","2257","","Customer","Customer","1993","Male","No"
"46",3.7812e+19,"2018-04-28 12:52:47 UTC","Eureka Valley Recreation Center","118","2018-04-28 15:26:25 UTC","O'Farrell St at Divisadero St","29","3781","","Customer","Customer","1986","Other","No"
"47",1.1082e+19,"2018-04-28 14:39:16 UTC","Channing Way at Shattuck Ave","252","2018-04-28 15:10:04 UTC","Addison St at Fourth St","259","1108","","Customer","Customer","1995","Male","No"
"48",6.41202e+18,"2018-04-28 12:32:48 UTC","Folsom St at 19th St","123","2018-04-28 12:35:59 UTC","19th St at Mission St","122","641","","Subscriber","Subscriber","1976","Male","No"
"49",2.1602e+19,"2018-04-28 10:27:39 UTC","Telegraph Ave at 23rd St","180","2018-04-28 10:30:07 UTC","Grand Ave at Webster St","181","2160","","Subscriber","Subscriber","1976","Male","No"
"50",3.8032e+19,"2018-04-28 09:22:17 UTC","Franklin Square","113","2018-04-28 09:28:26 UTC","S Van Ness Ave at Market St","59","3803","","Subscriber","Subscriber","1971","Male","No"
"51",8.42018e+17,"2018-04-28 09:06:09 UTC","49th St at Telegraph Ave","175","2018-04-28 09:16:11 UTC","34th St at Telegraph Ave","215","84","","Subscriber","Subscriber","1983","Male","No"
"52",2.9622e+19,"2018-04-28 08:12:35 UTC","Derby St at College Ave","267","2018-04-28 08:26:03 UTC","49th St at Telegraph Ave","175","2962","","Customer","Customer","1988","Male","No"
"53",1.1722e+19,"2018-04-28 06:27:24 UTC","Market St at Brockhurst St","214","2018-04-28 06:35:05 UTC","Bay Pl at Vernon St","195","1172","","Subscriber","Subscriber","1992","Other","No"
"54",3.8942e+19,"2018-04-28 03:14:41 UTC","Jersey St at Church St","138","2018-04-28 03:31:16 UTC","Jersey St at Castro St","137","3894","","Customer","Customer","1995","Male","No"
"55",4.0392e+19,"2018-04-28 02:21:59 UTC","Jersey St at Church St","138","2018-04-28 02:38:05 UTC","Yerba Buena Center for the Arts (Howard St at 3rd St)","284","4039","","Subscriber","Subscriber","1988","Male","No"
"56",7.89202e+18,"2018-04-27 22:41:34 UTC","Julian St at The Alameda","276","2018-04-27 23:06:51 UTC","S. 4th St at San Carlos St","208","789","","Subscriber","Subscriber","1994","Male","Yes"
"57",3.8592e+19,"2018-04-27 21:53:44 UTC","1st St at Folsom St","26","2018-04-27 21:54:57 UTC","Beale St at Harrison St","27","3859","","Subscriber","Subscriber","1987","Male","No"
"58",5.93202e+18,"2018-04-27 18:55:19 UTC","Alcatraz Ave at Shattuck Ave","168","2018-04-27 19:05:29 UTC","Downtown Berkeley BART","245","593","","Subscriber","Subscriber","1993","Male","No"
"59",3.8732e+19,"2018-04-27 18:58:40 UTC","Church St at Duboce Ave","85","2018-04-27 19:03:10 UTC","Laguna St at Hayes St","74","3873","","Customer","Customer","","","No"
"60",2.2042e+19,"2018-04-27 17:06:31 UTC","Jack London Square","187","2018-04-27 17:29:03 UTC","Grand Ave at Santa Clara Ave","193","2204","","Customer","Customer","","","No"
"61",2.0332e+19,"2018-04-27 17:04:36 UTC","North Berkeley BART Station","250","2018-04-27 17:13:02 UTC","Vine St at Shattuck Ave","254","2033","","Subscriber","Subscriber","1970","Male","No"
"62",1.2082e+19,"2018-04-27 16:40:42 UTC","University Ave at Oxford St","258","2018-04-27 16:52:23 UTC","Oregon St at Adeline St","274","1208","","Subscriber","Subscriber","1966","Male","No"
"63",6.45202e+18,"2018-04-27 16:29:01 UTC","Morrison Ave at Julian St","277","2018-04-27 16:39:01 UTC","Santa Clara St at Almaden Blvd","314","645","","Customer","Customer","1989","Female","No"
"64",3.7782e+19,"2018-04-27 16:02:07 UTC","Church St at Duboce Ave","85","2018-04-27 16:10:18 UTC","Valencia St at 24th St","134","3778","","Subscriber","Subscriber","1978","Male","No"
"65",1.4792e+19,"2018-04-27 14:52:44 UTC","Mosswood Park","212","2018-04-27 15:19:20 UTC","Telegraph Ave at 19th St","183","1479","","Subscriber","Subscriber","1990","Other","No"
"66",3.8582e+19,"2018-04-27 13:19:49 UTC","Irwin St at 8th St","102","2018-04-27 13:34:13 UTC","Laguna St at Hayes St","74","3858","","Subscriber","Subscriber","1987","Male","No"
"67",4.74202e+18,"2018-04-27 11:40:34 UTC","Shattuck Ave at 51st St","174","2018-04-27 11:44:23 UTC","MacArthur BART Station","176","474","","Subscriber","Subscriber","1980","Male","No"
"68",9.69202e+18,"2018-04-27 11:19:56 UTC","Webster St at 2nd St","203","2018-04-27 11:44:05 UTC","34th St at Telegraph Ave","215","969","","Customer","Customer","1992","Female","No"
"69",1.2092e+19,"2018-04-27 11:19:32 UTC","12th St at 4th Ave","233","2018-04-27 11:28:30 UTC","El Embarcadero at Grand Ave","197","1209","","Subscriber","Subscriber","1979","Male","No"
"70",3.9832e+19,"2018-04-27 08:17:04 UTC","Jersey St at Church St","138","2018-04-27 08:31:25 UTC","Folsom St at 9th St","78","3983","","Subscriber","Subscriber","1988","Male","No"
"71",1.0022e+19,"2018-04-27 07:54:40 UTC","Parker St at Fulton St","266","2018-04-27 08:01:11 UTC","Ashby BART Station","241","1002","","Subscriber","Subscriber","1988","Male","No"
"72",9.93202e+18,"2018-04-27 01:23:55 UTC","San Salvador St at 9th St","317","2018-04-27 01:30:53 UTC","5th St at Virginia St","296","993","","Subscriber","Subscriber","1989","Male","Yes"
"73",3.3672e+19,"2018-04-26 19:52:47 UTC","Telegraph Ave at 23rd St","180","2018-04-26 19:58:45 UTC","Grand Ave at Perkins St","196","3367","","Subscriber","Subscriber","1982","Male","No"
"74",7.82202e+18,"2018-04-26 18:30:40 UTC","MLK Jr Way at University Ave","238","2018-04-26 18:34:18 UTC","Downtown Berkeley BART","245","782","","Subscriber","Subscriber","1993","Male","No"
"75",4.32202e+18,"2018-04-26 17:32:41 UTC","Julian St at 6th St","275","2018-04-26 17:41:15 UTC","Pierce Ave at Market St","294","432","","Subscriber","Subscriber","1995","Male","No"
"76",5.96202e+18,"2018-04-26 17:25:38 UTC","Ellsworth St at Russell St","268","2018-04-26 17:29:09 UTC","Russell St at College Ave","249","596","","Subscriber","Subscriber","1969","Male","No"
"77",3.4822e+19,"2018-04-26 13:27:35 UTC","Franklin St at 9th St","162","2018-04-26 13:30:38 UTC","Frank H Ogawa Plaza","7","3482","","Subscriber","Subscriber","1935","Male","Yes"
"78",2.7002e+19,"2018-04-26 13:09:49 UTC","5th St at San Salvador St","327","2018-04-26 13:14:27 UTC","San Carlos St at 11th St","286","2700","","Subscriber","Subscriber","1990","Male","Yes"
"79",3.6742e+19,"2018-04-26 12:49:40 UTC","13th St at Franklin St","338","2018-04-26 13:03:44 UTC","Grand Ave at Webster St","181","3674","","Subscriber","Subscriber","1975","Male","No"
"80",3.7122e+19,"2018-04-26 12:27:46 UTC","William St at 10th St","295","2018-04-26 12:32:46 UTC","S. 4th St at San Carlos St","208","3712","","Subscriber","Subscriber","1989","Male","Yes"
"81",6.73202e+18,"2018-04-26 11:56:28 UTC","Julian St at The Alameda","276","2018-04-26 12:08:41 UTC","S. 4th St at San Carlos St","208","673","","Subscriber","Subscriber","1991","Male","Yes"
"82",3.0492e+19,"2018-04-26 09:55:05 UTC","Telegraph Ave at Carleton St","269","2018-04-26 10:04:56 UTC","49th St at Telegraph Ave","175","3049","","Subscriber","Subscriber","1987","Female","No"
"83",1.4252e+19,"2018-04-26 09:00:48 UTC","Mosswood Park","212","2018-04-26 09:13:19 UTC","Frank H Ogawa Plaza","7","1425","","Subscriber","Subscriber","1977","Male","No"
"84",3.7462e+19,"2018-04-26 08:58:14 UTC","Parker St at Fulton St","266","2018-04-26 09:03:20 UTC","Ashby BART Station","241","3746","","Subscriber","Subscriber","1981","Male","No"
"85",3.4642e+19,"2018-04-26 08:50:41 UTC","Mosswood Park","212","2018-04-26 09:00:05 UTC","Telegraph Ave at 19th St","183","3464","","Subscriber","Subscriber","1986","Male","No"
"86",3.2312e+19,"2018-04-26 08:53:27 UTC","45th St at Manila","210","2018-04-26 08:58:50 UTC","MacArthur BART Station","176","3231","","Subscriber","Subscriber","1968","Female","No"
"87",3.7192e+19,"2018-04-26 08:24:34 UTC","Derby St at College Ave","267","2018-04-26 08:29:27 UTC","Telegraph Ave at Ashby Ave","248","3719","","Subscriber","Subscriber","1982","Male","No"
"88",2.8392e+19,"2018-04-26 08:13:26 UTC","34th St at Telegraph Ave","215","2018-04-26 08:17:36 UTC","MacArthur BART Station","176","2839","","Subscriber","Subscriber","1989","Female","No"
"89",2.1572e+19,"2018-04-25 21:47:48 UTC","Jersey St at Castro St","137","2018-04-25 21:58:43 UTC","Valencia St at 22nd St","133","2157","","Subscriber","Subscriber","1966","Male","No"
"90",8.62018e+17,"2018-04-25 20:02:08 UTC","17th & Folsom Street Park (17th St at Folsom St)","110","2018-04-25 20:06:06 UTC","17th St at Valencia St","109","86","","Subscriber","Subscriber","1971","Male","No"
"91",2.2332e+19,"2018-04-25 19:19:58 UTC","55th St at Telegraph Ave","204","2018-04-25 19:35:53 UTC","Channing Way at Shattuck Ave","252","2233","","Subscriber","Subscriber","1994","Female","No"
"92",3.1002e+19,"2018-04-25 19:30:22 UTC","Hearst Ave at Euclid Ave","256","2018-04-25 19:33:34 UTC","Shattuck Ave at Hearst Ave","244","3100","","Subscriber","Subscriber","1967","Male","No"
"93",1.3892e+19,"2018-04-25 17:48:29 UTC","13th St at Franklin St","338","2018-04-25 17:55:42 UTC","2nd Ave at E 18th St","200","1389","","Subscriber","Subscriber","1982","Male","No"
"94",1.6192e+19,"2018-04-25 17:41:59 UTC","Fountain Alley at S 2nd St","341","2018-04-25 17:48:12 UTC","San Jose Diridon Station","312","1619","","Subscriber","Subscriber","1968","Male","No"
"95",2.1422e+19,"2018-04-25 16:35:59 UTC","Horton St at 40th St","148","2018-04-25 16:59:28 UTC","Dover St at 57th St","188","2142","","Subscriber","Subscriber","1987","Male","No"
"96",2.9352e+19,"2018-04-25 16:35:49 UTC","San Salvador St at 9th St","317","2018-04-25 16:42:21 UTC","Paseo De San Antonio at 2nd St","311","2935","","Subscriber","Subscriber","1993","Male","Yes"
"97",4.88202e+18,"2018-04-25 15:28:25 UTC","24th St at Market St","159","2018-04-25 15:35:41 UTC","24th St at Market St","159","488","","Subscriber","Subscriber","1975","Male","Yes"
"98",3.60202e+18,"2018-04-25 14:20:33 UTC","Market St at 8th St","236","2018-04-25 14:34:37 UTC","Washington St at 8th St","202","360","","Customer","Customer","1989","Female","No"
"99",1.6992e+19,"2018-04-25 13:40:18 UTC","Almaden Blvd at San Fernando St","313","2018-04-25 13:46:02 UTC","San Fernando at 7th St","280","1699","","Subscriber","Subscriber","1975","Male","No"
"100",1.4962e+19,"2018-04-25 12:17:45 UTC","Jackson St at 11th St","339","2018-04-25 12:27:02 UTC","2nd Ave at E 18th St","200","1496","","Subscriber","Subscriber","1989","Male","No"
"101",4.90202e+18,"2018-04-25 12:09:29 UTC","Telegraph Ave at 27th St","179","2018-04-25 12:12:43 UTC","Bay Pl at Vernon St","195","490","","Subscriber","Subscriber","1966","Male","No"
"102",4.15202e+18,"2018-04-25 12:00:17 UTC","Fulton St at Bancroft Way","247","2018-04-25 12:03:58 UTC","University Ave at Oxford St","258","415","","Subscriber","Subscriber","1996","Female","Yes"
"103",3.7522e+19,"2018-04-25 09:55:40 UTC","North Berkeley BART Station","250","2018-04-25 10:35:12 UTC","West Oakland BART Station","160","3752","","Subscriber","Subscriber","1973","Male","No"
"104",1.1622e+19,"2018-04-25 10:14:49 UTC","37th St at West St","192","2018-04-25 10:28:38 UTC","Grand Ave at Perkins St","196","1162","","Subscriber","Subscriber","1994","Male","Yes"
"105",3.4232e+19,"2018-04-25 09:08:53 UTC","Mosswood Park","212","2018-04-25 09:11:34 UTC","MacArthur BART Station","176","3423","","Subscriber","Subscriber","1988","Male","No"
"106",1.9842e+19,"2018-04-25 07:59:05 UTC","Jersey St at Castro St","137","2018-04-25 08:23:07 UTC","Bryant St at 2nd St","343","1984","","Customer","Customer","1991","Male","No"
"107",3.7992e+19,"2018-04-25 07:17:08 UTC","Sanchez St at 17th St","106","2018-04-25 07:21:41 UTC","16th St Mission BART Station 2","223","3799","","Subscriber","Subscriber","1960","Male","No"
"108",1.3932e+19,"2018-04-25 06:44:26 UTC","Broadway at Coronado Ave","207","2018-04-25 06:55:12 UTC","Grand Ave at Webster St","181","1393","","Subscriber","Subscriber","1991","Female","No"
"109",3.4242e+19,"2018-04-24 19:22:15 UTC","University Ave at Oxford St","258","2018-04-24 19:30:14 UTC","Oregon St at Adeline St","274","3424","","Subscriber","Subscriber","1985","Male","No"
"110",2.1112e+19,"2018-04-24 18:58:22 UTC","Berkeley Civic Center","246","2018-04-24 19:15:28 UTC","Ninth St at Parker St","265","2111","","Subscriber","Subscriber","1987","Male","No"
"111",2.1962e+19,"2018-04-24 18:17:58 UTC","Franklin Square","113","2018-04-24 18:19:47 UTC","17th & Folsom Street Park (17th St at Folsom St)","110","2196","","Subscriber","Subscriber","1994","Male","No"
"112",1.8932e+19,"2018-04-24 17:55:21 UTC","Shattuck Ave at Telegraph Ave","158","2018-04-24 18:18:37 UTC","Genoa St at 55th St","189","1893","","Subscriber","Subscriber","1994","Female","Yes"
"113",3.5172e+19,"2018-04-24 17:10:10 UTC","Rockridge BART Station","171","2018-04-24 17:20:16 UTC","Derby St at College Ave","267","3517","","Subscriber","Subscriber","1990","Male","No"
"114",2.4172e+19,"2018-04-24 16:37:13 UTC","Adeline St at 40th St","150","2018-04-24 16:55:42 UTC","Harmon St at Adeline St","340","2417","","Subscriber","Subscriber","1994","Female","No"
"115",1.2972e+19,"2018-04-24 15:01:04 UTC","Alcatraz Ave at Shattuck Ave","168","2018-04-24 15:03:21 UTC","Telegraph Ave at Alcatraz Ave","18","1297","","Subscriber","Subscriber","1976","Male","No"
"116",1.2052e+19,"2018-04-24 13:41:41 UTC","Almaden Blvd at San Fernando St","313","2018-04-24 13:49:52 UTC","San Jose Diridon Station","312","1205","","Customer","Customer","1966","Male","No"
"117",4.66202e+18,"2018-04-24 13:27:38 UTC","College Ave at Taft Ave","172","2018-04-24 13:35:59 UTC","Dover St at 57th St","188","466","","Subscriber","Subscriber","1982","Male","No"
"118",3.45202e+18,"2018-04-24 13:08:55 UTC","Derby St at College Ave","267","2018-04-24 13:15:00 UTC","Bancroft Way at College Ave","243","345","","Subscriber","Subscriber","1998","Male","Yes"
"119",1.8142e+19,"2018-04-24 11:42:32 UTC","Fountain Alley at S 2nd St","341","2018-04-24 11:46:10 UTC","S. 4th St at San Carlos St","208","1814","","Subscriber","Subscriber","1995","Male","Yes"
"120",3.5292e+19,"2018-04-24 09:15:20 UTC","Broadway at 30th St","178","2018-04-24 09:23:55 UTC","Frank H Ogawa Plaza","7","3529","","Subscriber","Subscriber","1981","Female","No"
"121",2.7682e+19,"2018-04-24 08:39:21 UTC","Eureka Valley Recreation Center","118","2018-04-24 09:02:17 UTC","S Park St at 3rd St","49","2768","","Subscriber","Subscriber","1989","Female","No"
"122",1.3632e+19,"2018-04-24 08:41:04 UTC","California St at University Ave","251","2018-04-24 08:43:45 UTC","North Berkeley BART Station","250","1363","","Subscriber","Subscriber","1984","Male","No"
"123",1.0242e+19,"2018-04-24 08:29:34 UTC","49th St at Telegraph Ave","175","2018-04-24 08:34:27 UTC","MacArthur BART Station","176","1024","","Customer","Customer","1983","Male","No"
"124",5.66202e+18,"2018-04-24 08:15:53 UTC","Derby St at College Ave","267","2018-04-24 08:23:31 UTC","Ashby BART Station","241","566","","Subscriber","Subscriber","1975","Male","No"
"125",3.7472e+19,"2018-04-24 07:46:14 UTC","Shattuck Ave at 55th Ave","173","2018-04-24 07:51:17 UTC","MacArthur BART Station","176","3747","","Subscriber","Subscriber","1983","Male","No"
"126",2.8302e+19,"2018-04-24 07:23:38 UTC","Pierce Ave at Market St","294","2018-04-24 07:37:19 UTC","San Jose Diridon Station","312","2830","","Subscriber","Subscriber","1987","Male","No"
"127",1.1232e+19,"2018-04-24 07:13:06 UTC","12th St at 4th Ave","233","2018-04-24 07:16:38 UTC","10th St at Fallon St","201","1123","","Subscriber","Subscriber","1977","Male","No"
"128",3.0352e+19,"2018-04-24 07:06:33 UTC","Parker St at Fulton St","266","2018-04-24 07:12:13 UTC","Downtown Berkeley BART","245","3035","","Subscriber","Subscriber","1996","Female","Yes"
"129",2.4722e+19,"2018-04-23 22:05:42 UTC","Jackson St at 11th St","339","2018-04-23 22:11:00 UTC","Telegraph Ave at 19th St","183","2472","","Subscriber","Subscriber","1988","Male","No"
"130",6.77202e+18,"2018-04-23 21:01:02 UTC","Harmon St at Adeline St","340","2018-04-23 21:07:45 UTC","65th St at Hollis St","157","677","","Subscriber","Subscriber","1991","Female","Yes"
"131",8.15202e+18,"2018-04-23 19:50:06 UTC","San Antonio Park","46","2018-04-23 20:02:31 UTC","Lakeshore Ave at Trestle Glen Rd","194","815","","Customer","Customer","1974","Male","No"
"132",1.1412e+19,"2018-04-23 20:00:01 UTC","Franklin St at 9th St","162","2018-04-23 20:01:34 UTC","13th St at Franklin St","338","1141","","Subscriber","Subscriber","1987","Male","No"
"133",7.77202e+18,"2018-04-23 19:52:49 UTC","Franklin St at 9th St","162","2018-04-23 19:58:04 UTC","Jackson St at 11th St","339","777","","Subscriber","Subscriber","1965","Male","Yes"
"134",1.0132e+19,"2018-04-23 19:19:11 UTC","San Pablo Park","271","2018-04-23 19:26:12 UTC","65th St at Hollis St","157","1013","","Subscriber","Subscriber","1982","Female","No"
"135",1.4812e+19,"2018-04-23 17:42:08 UTC","5th St at Virginia St","296","2018-04-23 17:51:49 UTC","San Fernando at 7th St","280","1481","","Subscriber","Subscriber","1995","Female","Yes"
"136",3.1692e+19,"2018-04-23 17:24:47 UTC","MLK Jr Way at 14th St","232","2018-04-23 17:41:15 UTC","2nd Ave at E 18th St","200","3169","","Customer","Customer","","","No"
"137",5.78202e+18,"2018-04-23 17:28:10 UTC","Fulton St at Bancroft Way","247","2018-04-23 17:32:28 UTC","Parker St at Fulton St","266","578","","Subscriber","Subscriber","1996","Female","Yes"
"138",2.4762e+19,"2018-04-23 17:02:48 UTC","Washington St at 8th St","202","2018-04-23 17:06:20 UTC","Franklin St at 9th St","162","2476","","Subscriber","Subscriber","1968","Female","Yes"
"139",1.8612e+19,"2018-04-23 16:36:33 UTC","MLK Jr Way at 14th St","232","2018-04-23 16:49:57 UTC","Horton St at 40th St","148","1861","","Subscriber","Subscriber","1964","Male","No"
"140",3.3402e+19,"2018-04-23 15:43:58 UTC","Parker St at Fulton St","266","2018-04-23 15:50:10 UTC","Telegraph Ave at Ashby Ave","248","3340","","Subscriber","Subscriber","1977","Female","Yes"
